Site,Type,NO3,SO2,P,NO2,NH3,NTU,Basin_Fill,Veg,Na,H2O_Temp,pH
U1,1,-0.522878745,1.243038049,-0.795880017,-1.782516056,-0.958607315,1.589949601,1.570796327,0.659058036,1.949633924,1.451018452,0.921166051
U2,1,0.267171728,1.322219295,0.176091259,-2.187086643,-1.522878745,1.607990859,1.412016112,0.321750554,2.26799259,1.383815366,0.926085087
U3,1,-0.522878745,1.113943352,-1.096910013,-1.823908741,-0.552841969,1.673481697,1.139190382,0.277405516,2.115610512,1.411619706,0.910624405
U4,1,-0.698970004,1.146128036,-0.552841969,-1.677780705,-0.853871964,1.483587297,0.964183715,0.321750554,2.25163822,1.42894429,0.926856709
U5,1,0.146128036,0.780317312,0.247973266,-2.602059991,-0.958607315,0.573451822,1.570796327,0.991156586,2.143170993,1.414973348,0.841984805
U6,1,0.096910013,1.397940009,0.190331698,-1.54515514,-0.488116639,1.84135947,1.249045772,0.397699415,2.149219113,1.376576957,0.882239848
U7,1,0.190331698,0.812913357,0.328379603,-2.455931956,-1,1.665580991,0.8606823,0.659058036,2.0548045,1.407390904,0.861832998
U8,1,0.146128036,0.698970004,0.397940009,-2.397940009,-1.259637311,1.494850022,1.29339081,0.158780215,1.965201701,1.458637849,0.88592634
U9,1,1.197280558,0.977723605,0.16879202,-2.698970004,-1.698970004,2.699369372,1.209429203,0.158780215,2.245389271,1.40654018,0.951337519
U10,1,-0.522878745,1.176091259,-0.560667306,-2.698970004,-1.096910013,1.617000341,1.173096912,0.158780215,2.035429738,1.47348697,0.924795996
U11,1,-0.187086643,1.204119983,0.138302698,-1.869666232,-1.022276395,1.583765368,1.570796327,0,2.0523091,1.390935107,0.928139707
U12,1,-0.22184875,1.278753601,0.131939295,-2.022276395,-0.823908741,1.596047008,1.345282921,0.158780215,2.000650954,1.382917135,0.899273187
U13,1,0.230448921,1.021189299,-0.886056648,-2.22184875,-0.515700161,2.147212417,1.209429203,0.158780215,2.028774527,1.411619706,0.921946454
U14,1,0.161368002,0.812913357,0.24674471,-2.346787486,-1.022276395,0.943741766,1.29339081,0.225513406,2.07371835,1.390051496,0.903089987
